title,price,price_raw,location,link,scraped_at,source,bedrooms,bathrooms,clean_location,price_category,price_per_bedroom
899! Especial De mudanza! Ven Y visitanos hoy!,1100,"$1,100","11457 Dennis Rd, Dallas, TX",https://dallas.craigslist.org/dal/apa/d/dallas-899-especial-de-mudanza-ven/7923790822.html,2026-04-18T06:24:04.440484,craigslist,,,"11457 Dennis Rd, Dallas",Mid-Range,
"2 bed 2 bath, $1149, 1050 Sq Ft, $99 First Months Rent Special",1149,"$1,149",fort worth,https://dallas.craigslist.org/ftw/apa/d/fort-worth-bed-bath-sq-ft-99-first/7920957437.html,2026-04-18T06:24:04.440545,craigslist,2.0,2.0,Fort Worth,Mid-Range,574.0
"Close to Freeway, Hard Surface Flooring, Ceiling Fan",850,$850,"7610 Skillman St, Dallas, TX",https://dallas.craigslist.org/dal/apa/d/dallas-close-to-freeway-hard-surface/7925283452.html,2026-04-18T06:24:04.440590,craigslist,,,"7610 Skillman St, Dallas",Mid-Range,
"On-Site Management Team, 1/BD, In Bedford",1125,"$1,125","bedford,TX",https://dallas.craigslist.org/mdf/apa/d/bedford-on-site-management-team-bd-in/7920301400.html,2026-04-18T06:24:04.440629,craigslist,,,Bedford,Mid-Range,
"Affordable Living: Clean, Safe, With a Kitchen",1689,"$1,689","380 W Lyndon B Johnson Fwy, Irving, TX",https://dallas.craigslist.org/ndf/apa/d/irving-affordable-living-clean-safe/7926697643.html,2026-04-18T06:24:04.440672,craigslist,,,"380 W Lyndon B Johnson Fwy, Irving",Premium,
1 story Condominium for rent,1500,"$1,500",Dallas,https://dallas.craigslist.org/dal/apa/d/dallas-story-condominium-for-rent/7928501787.html,2026-04-18T06:24:04.440711,craigslist,,,Dallas,Premium,
"Bilingual Speaking Staff, Fireplaces, Gated Community",1425,"$1,425",The Link Apartments,https://dallas.craigslist.org/dal/apa/d/dallas-bilingual-speaking-staff/7927530152.html,2026-04-18T06:24:04.440752,craigslist,,,The Link Apartments,Premium,
"Courtyard, Public Transportation, BBQ/Picnic Area",1195,"$1,195","701 W Buckingham Rd, Garland, TX",https://dallas.craigslist.org/ndf/apa/d/garland-courtyard-public-transportation/7926663442.html,2026-04-18T06:24:04.440793,craigslist,,,"701 W Buckingham Rd, Garland",Mid-Range,
"On-Site Laundry Facility, Dog Park, Soaking Tubs",1165,"$1,165","2801 Turnberry Dr, Arlington, TX",https://dallas.craigslist.org/mdf/apa/d/arlington-on-site-laundry-facility-dog/7920146793.html,2026-04-18T06:24:04.440831,craigslist,,,"2801 Turnberry Dr, Arlington",Mid-Range,
"Modern Finishes, Private Patio/Balcony, Washer/Dryer Connections",1310,"$1,310","4211 San Jacinto St, Dallas, TX",https://dallas.craigslist.org/dal/apa/d/dallas-modern-finishes-private-patio/7923348065.html,2026-04-18T06:24:04.440869,craigslist,,,"4211 San Jacinto St, Dallas",Premium,
